Employee Name, Job Title, Base Pay, Overtime Pay, Other Pay, Benefits, Total Pay & Benefits, Year, Notes, Agency, Status
"Not provided","Gsr-Partial Fee Rem",46583.0,0.0,0.0,8652.0,55235.0,2020,"None","University of California",
"Not provided","Gsr-Full Fee Rem",49656.0,0.0,389.0,5190.0,55235.0,2020,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",49413.0,0.0,5811.0,0.0,55224.0,2023,"None","University of California",
"Not provided","GSR-FULL FEE REM",55211.0,0.0,0.0,0.0,55211.0,2013,"None","University of California",
"Not provided","Gsr-Full Fee Rem",55199.0,0.0,0.0,0.0,55199.0,2020,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",50499.0,0.0,4692.0,0.0,55191.0,2023,"None","University of California",
"Not provided","GSR-PARTIAL FEE REM",44822.0,0.0,0.0,10352.0,55174.0,2017,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",53181.0,0.0,0.0,1983.0,55164.0,2023,"None","University of California",
"Not provided","GSR-FULL FEE REM",37306.0,68.0,6745.0,10981.0,55100.0,2018,"None","University of California",
"Not provided","GSR-FULL FEE REM",55092.0,0.0,0.0,0.0,55092.0,2017,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",55091.0,0.0,0.0,0.0,55091.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",52943.0,0.0,0.0,2118.0,55061.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",50495.0,0.0,4550.0,0.0,55045.0,2022,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",55023.0,0.0,0.0,0.0,55023.0,2023,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",50511.0,0.0,4507.0,0.0,55018.0,2023,"None","University of California",
"Not Provided","Gsr-No Rem",55018.0,0.0,0.0,0.0,55018.0,2023,"None","University of California",
"Not provided","Gsr-Partial Fee Rem",51275.0,0.0,0.0,3703.0,54978.0,2020,"None","University of California",
"Not Provided","Gsr-No Rem",49485.0,0.0,5438.0,0.0,54923.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54905.0,0.0,0.0,0.0,54905.0,2023,"None","University of California",
"Not provided","GSR-FULL FEE REM",38588.0,341.0,5110.0,10830.0,54869.0,2015,"None","University of California",
"Not provided","Gsr-Full Fee Rem",53245.0,0.0,0.0,1621.0,54866.0,2019,"None","University of California",
"Not provided","Gsr-Tuit &amp; Fee Rem",46891.0,0.0,7968.0,0.0,54859.0,2020,"None","University of California",
"Not Provided","Gsr-No Rem",53480.0,0.0,0.0,1329.0,54809.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",50708.0,0.0,0.0,4057.0,54765.0,2022,"None","University of California",
"Not Provided","Gsr-Tuit &amp; Fee Rem",52364.0,0.0,2400.0,0.0,54764.0,2023,"None","University of California",
"Not provided","Gsr-Full Fee Rem",46914.0,0.0,7800.0,0.0,54714.0,2020,"None","University of California",
"Not provided","Gsr-Full Fee Rem",50836.0,0.0,3866.0,0.0,54702.0,2020,"None","University of California",
"Not provided","GSR-FULL FEE REM",47896.0,0.0,100.0,6705.0,54701.0,2018,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",48429.0,0.0,6269.0,0.0,54698.0,2023,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",53300.0,0.0,1350.0,0.0,54650.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54622.0,0.0,0.0,0.0,54622.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54610.0,0.0,0.0,0.0,54610.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54610.0,0.0,0.0,0.0,54610.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54610.0,0.0,0.0,0.0,54610.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54606.0,0.0,0.0,0.0,54606.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54587.0,0.0,0.0,0.0,54587.0,2023,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",49671.0,0.0,4900.0,0.0,54571.0,2023,"None","University of California",
"Not provided","GSR-FULL FEE REM",35725.0,29.0,8378.0,10435.0,54567.0,2017,"None","University of California",
"Not Provided","Gsr-Tuit &amp; Fee Rem",54558.0,0.0,0.0,0.0,54558.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54558.0,0.0,0.0,0.0,54558.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54558.0,0.0,0.0,0.0,54558.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54558.0,0.0,0.0,0.0,54558.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54558.0,0.0,0.0,0.0,54558.0,2023,"None","University of California",
"Not Provided","Gsr-No Rem",54558.0,0.0,0.0,0.0,54558.0,2023,"None","University of California",
"Not Provided","Gsr-No Rem",54558.0,0.0,0.0,0.0,54558.0,2023,"None","University of California",
